"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 18 09:02:32 GMT 2024","Sun Feb 18 09:02:40 GMT 2024","8725","Qase Smoke Test","Thread #3","tests.MilestonesTest","tests.MilestonesTest","setMilestone","Set the milestone",""
"passed","Sun Feb 18 09:02:35 GMT 2024","Sun Feb 18 09:02:39 GMT 2024","3579","Qase Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","login","Login successfully",""
"passed","Sun Feb 18 09:02:32 GMT 2024","Sun Feb 18 09:02:35 GMT 2024","2895","Qase Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","emptyLogin","Check empty fields login",""
"passed","Sun Feb 18 09:02:32 GMT 2024","Sun Feb 18 09:02:41 GMT 2024","9217","Qase Smoke Test","Thread #2","tests.DefectsTest","tests.DefectsTest","createDefect","Create defect",""
"failed","Sun Feb 18 09:03:03 GMT 2024","Sun Feb 18 09:03:03 GMT 2024","6","Qase Smoke Test","Thread #2","tests.DefectsTest","tests.DefectsTest","deleteRepository","Delete Project",""
