"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 18 17:26:33 GMT 2024","Sun Feb 18 17:26:35 GMT 2024","2473","Qase Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","emptyLogin","Check empty fields login",""
"passed","Sun Feb 18 17:26:33 GMT 2024","Sun Feb 18 17:26:41 GMT 2024","8019","Qase Smoke Test","Thread #2","tests.DefectsTest","tests.DefectsTest","createDefect","Create defect",""
"passed","Sun Feb 18 17:26:33 GMT 2024","Sun Feb 18 17:26:40 GMT 2024","7108","Qase Smoke Test","Thread #3","tests.MilestonesTest","tests.MilestonesTest","setMilestone","Set the milestone",""
"passed","Sun Feb 18 17:26:36 GMT 2024","Sun Feb 18 17:26:39 GMT 2024","3644","Qase Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","login","Login successfully",""
